NAME,income,population,state,county,tract,GEOID20,area_x,city,OBJECTID_1,OBJECTID,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,CBSA10,METRO_NAME,HRS2020,RHRS20,Shape_Leng,Shape_Area,EQINTER20,area_y
"Census Tract 670, Kings County, New York",726.0,2888.0, New York,047,067000,36047067000,Census Tract 670, Kings County,9739,11802,208266.0,0.0,40.6127246,-73.9227642,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02003973735,2.216204e-05,3,208265
"Census Tract 672, Kings County, New York",440.0,1832.0, New York,047,067200,36047067200,Census Tract 672, Kings County,9378,11430,174237.0,0.0,40.618747,-73.9278042,35620.0,"New York-Newark-Jersey City, N",2.577309,2.6,0.02368319143,1.854251e-05,3,174236
"Census Tract 674, Kings County, New York",482.0,1848.0, New York,047,067400,36047067400,Census Tract 674, Kings County,9379,11431,189209.0,0.0,40.6198305,-73.9302723,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.02112071382,2.01363e-05,2,189209
"Census Tract 676, Kings County, New York",470.0,1773.0, New York,047,067600,36047067600,Census Tract 676, Kings County,9380,11432,155374.0,0.0,40.624995,-73.9272011,35620.0,"New York-Newark-Jersey City, N",2.144974,2.1,0.02067633961,1.653684e-05,2,155375
"Census Tract 678, Kings County, New York",803.0,3122.0, New York,047,067800,36047067800,Census Tract 678, Kings County,9599,11659,166222.0,0.0,40.6261489,-73.922779,35620.0,"New York-Newark-Jersey City, N",2.797639,2.8,0.01667356673,1.769154e-05,3,166221
"Census Tract 680, Kings County, New York",519.0,2153.0, New York,047,068000,36047068000,Census Tract 680, Kings County,9381,11433,168859.0,0.0,40.6213764,-73.9251879,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01703088494,1.797107e-05,3,168860
"Census Tract 682, Kings County, New York",729.0,2480.0, New York,047,068200,36047068200,Census Tract 682, Kings County,9382,11434,202229.0,0.0,40.6166469,-73.9241304,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02056776528,2.152083e-05,3,202228
"Census Tract 686, Kings County, New York",380.0,1596.0, New York,047,068600,36047068600,Census Tract 686, Kings County,9564,11624,148006.0,0.0,40.6148226,-73.9172817,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01973699285,1.575015e-05,3,148006
"Census Tract 688, Kings County, New York",436.0,1796.0, New York,047,068800,36047068800,Census Tract 688, Kings County,9372,11423,156912.0,0.0,40.6172158,-73.9191004,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01684417006,1.669861e-05,3,156913
"Census Tract 690, Kings County, New York",487.0,1994.0, New York,047,069000,36047069000,Census Tract 690, Kings County,9873,11945,172913.0,0.0,40.6199654,-73.9206701,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02103766848,1.840218e-05,3,172914
"Census Tract 692, Kings County, New York",671.0,2434.0, New York,047,069200,36047069200,Census Tract 692, Kings County,9373,11424,182215.0,0.0,40.6236755,-73.9200888,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.0205629921,1.939318e-05,3,182216
"Census Tract 696.02, Kings County, New York",1593.0,5247.0, New York,047,069602,36047069602,Census Tract 696.02, Kings County,7784,9618,688168.0,172866.0,40.622761,-73.9092489,35620.0,"New York-Newark-Jersey City, N",3.195678,3.2,0.05202289738,9.163835e-05,3,861034
"Census Tract 698, Kings County, New York",343.0,1351.0, New York,047,069800,36047069800,Census Tract 698, Kings County,9374,11425,500249.0,120721.0,40.6112503,-73.9170851,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.04348550382,6.607887e-05,3,620971
"Census Tract 700, Kings County, New York",379.0,1419.0, New York,047,070000,36047070000,Census Tract 700, Kings County,9383,11435,201893.0,0.0,40.6200459,-73.9067408,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01967312401,2.148637e-05,4,201894
"Census Tract 293.01, Bronx County, New York",484.0,1772.0, New York,005,029301,36005029301,Census Tract 293.01, Bronx County,9978,12064,286791.0,733013.0,40.8829227,-73.9216655,35620.0,"New York-Newark-Jersey City, N",1.00757,1.0,0.04453673842,0.00010895674,1,1019805
"Census Tract 293.02, Bronx County, New York",1330.0,5546.0, New York,005,029302,36005029302,Census Tract 293.02, Bronx County,9958,12044,425237.0,0.0,40.8792795,-73.9158619,35620.0,"New York-Newark-Jersey City, N",2.000993,2.0,0.03884793529,4.54293e-05,2,425235
"Census Tract 295, Bronx County, New York",922.0,4401.0, New York,005,029500,36005029500,Census Tract 295, Bronx County,7820,9655,236468.0,0.0,40.884935,-73.9085679,35620.0,"New York-Newark-Jersey City, N",2.020276,2.0,0.02788064335,2.526476e-05,2,236468
"Census Tract 296, Bronx County, New York",433.0,1807.0, New York,005,029600,36005029600,Census Tract 296, Bronx County,7821,9656,723313.0,0.0,40.8553721,-73.8450221,35620.0,"New York-Newark-Jersey City, N",2.949849,2.9,0.05809804153,7.724676e-05,3,723314
"Census Tract 297, Bronx County, New York",870.0,3946.0, New York,005,029700,36005029700,Census Tract 297, Bronx County,7594,9374,232730.0,0.0,40.884931,-73.9118383,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.02542955611,2.486531e-05,2,232729
"Census Tract 300, Bronx County, New York",1474.0,6407.0, New York,005,030000,36005030000,Census Tract 300, Bronx County,7822,9657,415698.0,0.0,40.852194,-73.8312298,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02687067501,4.439248e-05,3,415698
"Census Tract 301, Bronx County, New York",254.0,1463.0, New York,005,030100,36005030100,Census Tract 301, Bronx County,7823,9658,146000.0,0.0,40.8832399,-73.9179338,35620.0,"New York-Newark-Jersey City, N",1.306383,1.3,0.01582493273,1.559863e-05,1,146000
"Census Tract 302.01, Bronx County, New York",966.0,3813.0, New York,005,030201,36005030201,Census Tract 302.01, Bronx County,8096,9964,221595.0,0.0,40.8619206,-73.8244988,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02225687248,2.366784e-05,3,221597
"Census Tract 302.02, Bronx County, New York",1353.0,5128.0, New York,005,030202,36005030202,Census Tract 302.02, Bronx County,8094,9962,182913.0,126090.0,40.86476,-73.8203987,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.023708381,3.300467e-05,3,309002
"Census Tract 307.01, Bronx County, New York",1423.0,5826.0, New York,005,030701,36005030701,Census Tract 307.01, Bronx County,7824,9659,396734.0,0.0,40.8931511,-73.9105743,35620.0,"New York-Newark-Jersey City, N",1.311776,1.3,0.04079693652,4.239323e-05,1,396735
"Census Tract 309, Bronx County, New York",705.0,4392.0, New York,005,030900,36005030900,Census Tract 309, Bronx County,9979,12065,1365853.0,2154981.0,40.9017787,-73.9140106,35620.0,"New York-Newark-Jersey City, N",1.121542,1.1,0.08984082964,0.00037625659,1,3520834
"Census Tract 310, Bronx County, New York",1004.0,4552.0, New York,005,031000,36005031000,Census Tract 310, Bronx County,7825,9660,639444.0,0.0,40.8612451,-73.836015,35620.0,"New York-Newark-Jersey City, N",2.764131,2.8,0.03498601626,6.829606e-05,3,639449
"Census Tract 312, Bronx County, New York",344.0,1531.0, New York,005,031200,36005031200,Census Tract 312, Bronx County,8306,10214,202061.0,0.0,40.8620616,-73.8424492,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02149524949,2.15813e-05,3,202061
"Census Tract 314, Bronx County, New York",460.0,2085.0, New York,005,031400,36005031400,Census Tract 314, Bronx County,8307,10215,211194.0,0.0,40.8615367,-73.8455326,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02185627564,2.255645e-05,3,211192
"Census Tract 316, Bronx County, New York",537.0,1978.0, New York,005,031600,36005031600,Census Tract 316, Bronx County,7558,9336,177170.0,0.0,40.8619716,-73.8487247,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01870338337,1.892272e-05,3,177169
"Census Tract 318, Bronx County, New York",498.0,2215.0, New York,005,031800,36005031800,Census Tract 318, Bronx County,7826,9661,178366.0,0.0,40.8619545,-73.8515677,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02203970059,1.905052e-05,3,178366
"Census Tract 323, Bronx County, New York",1095.0,4429.0, New York,005,032300,36005032300,Census Tract 323, Bronx County,7827,9663,561181.0,0.0,40.9053418,-73.9075805,35620.0,"New York-Newark-Jersey City, N",1.022941,1.0,0.03411841248,5.997626e-05,1,561182
"Census Tract 324, Bronx County, New York",706.0,3286.0, New York,005,032400,36005032400,Census Tract 324, Bronx County,7828,9664,267455.0,0.0,40.8613366,-73.8597114,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02277543965,2.856565e-05,3,267456
"Census Tract 326, Bronx County, New York",871.0,3695.0, New York,005,032600,36005032600,Census Tract 326, Bronx County,9961,12047,332096.0,0.0,40.8621894,-73.8554843,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02732775968,3.546986e-05,3,332095
"Census Tract 328, Bronx County, New York",1013.0,3989.0, New York,005,032800,36005032800,Census Tract 328, Bronx County,8308,10216,204674.0,0.0,40.8617363,-73.8631301,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02093722134,2.186042e-05,3,204675
"Census Tract 330, Bronx County, New York",1244.0,5456.0, New York,005,033000,36005033000,Census Tract 330, Bronx County,7552,9330,206129.0,0.0,40.8616561,-73.8660255,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02100975006,2.201559e-05,3,206128
"Census Tract 332.01, Bronx County, New York",1034.0,5303.0, New York,005,033201,36005033201,Census Tract 332.01, Bronx County,9771,11835,114034.0,0.0,40.8594756,-73.8692323,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01430699044,1.217918e-05,3,114035
"Census Tract 332.02, Bronx County, New York",762.0,3821.0, New York,005,033202,36005033202,Census Tract 332.02, Bronx County,9980,12066,115204.0,0.0,40.8633818,-73.8689413,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01420035423,1.230475e-05,3,115204
"Census Tract 335, Bronx County, New York",372.0,2042.0, New York,005,033500,36005033500,Census Tract 335, Bronx County,9983,12069,696563.0,0.0,40.89064,-73.9070543,35620.0,"New York-Newark-Jersey City, N",1.255509,1.3,0.04375131112,7.443283e-05,1,696563
"Census Tract 336.01, Bronx County, New York",1298.0,5121.0, New York,005,033601,36005033601,Census Tract 336.01, Bronx County,8216,10102,128000.0,0.0,40.8675676,-73.868886,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01495568171,1.367217e-05,3,127999
