ct2010,count,NAME,income,population,state,county,tract,GEOID20,area_x,city,OBJECTID_1,OBJECTID,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,CBSA10,METRO_NAME,HRS2020,RHRS20,Shape_Leng,Shape_Area,EQINTER20,area_y,area_code
27.0,337,"Census Tract 27, New York County, New York",367.0,1417.0, New York,61,2700,36061002700,Census Tract 27, New York County,7965,9816,59282.0,0.0,40.7125508,-73.9990121,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01173559998,6.31769e-06,4,59282,27.0
27.0,337,"Census Tract 27, Richmond County, New York",266.0,1805.0, New York,85,2700,36085002700,Census Tract 27, Richmond County,8595,10549,250358.0,0.0,40.6235871,-74.0764274,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02104470215,2.664552e-05,4,250358,27.0
27.01,48,"Census Tract 27.01, Bronx County, New York",637.0,2672.0, New York,5,2701,36005002701,Census Tract 27.01, Bronx County,8769,10743,81584.0,0.0,40.8050791,-73.9163464,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01374372409,8.70633e-06,4,81585,27.01
27.02,161,"Census Tract 27.02, Bronx County, New York",995.0,4504.0, New York,5,2702,36005002702,Census Tract 27.02, Bronx County,8822,10803,155461.0,0.0,40.8064496,-73.913773,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02037601476,1.65906e-05,4,155462,27.02
28.0,735,"Census Tract 28, Bronx County, New York",1336.0,5030.0, New York,5,2800,36005002800,Census Tract 28, Bronx County,8823,10804,414588.0,24682.0,40.8225183,-73.8782336,35620.0,"New York-Newark-Jersey City, N",3.523675,3.5,0.03031889049,4.688836e-05,4,439269,28.0
28.0,735,"Census Tract 28, New York County, New York",1249.0,6404.0, New York,61,2800,36061002800,Census Tract 28, New York County,7966,9817,183626.0,0.0,40.7268631,-73.9768122,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01806491567,1.957288e-05,4,183624,28.0
28.0,735,"Census Tract 28, Queens County, New York",766.0,3454.0, New York,81,2800,36081002800,Census Tract 28, Queens County,9279,11320,225043.0,0.0,40.6923881,-73.8443722,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02013164718,2.397564e-05,3,225043,28.0
29.0,1083,"Census Tract 29, Richmond County, New York",1272.0,4867.0, New York,85,2900,36085002900,Census Tract 29, Richmond County,8123,9994,526903.0,0.0,40.6196581,-74.0827407,35620.0,"New York-Newark-Jersey City, N",3.99971,4.0,0.03368113743,5.607486e-05,4,526903,29.0
29.01,10,"Census Tract 29.01, Kings County, New York",1053.0,4528.0, New York,47,2901,36047002901,Census Tract 29.01, Kings County,7547,9325,109261.0,0.0,40.6949933,-73.9780959,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01378036467,1.164074e-05,4,109260,29.01
30.0,536,"Census Tract 30, Kings County, New York",399.0,1545.0, New York,47,3000,36047003000,Census Tract 30, Kings County,9499,11559,110188.0,0.0,40.6388788,-74.0289766,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.015412508,1.172994e-05,2,110188,30.0
30.0,536,"Census Tract 30, Queens County, New York",345.0,1609.0, New York,81,3000,36081003000,Census Tract 30, Queens County,9280,11321,112790.0,0.0,40.6916415,-73.8472679,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01696202062,1.201618e-05,3,112789,30.0
30.01,216,"Census Tract 30.01, New York County, New York",546.0,3727.0, New York,61,3001,36061003001,Census Tract 30.01, New York County,7967,9818,124150.0,0.0,40.7210056,-73.9868387,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01542225233,1.323231e-05,4,124150,30.01
30.02,86,"Census Tract 30.02, New York County, New York",421.0,2929.0, New York,61,3002,36061003002,Census Tract 30.02, New York County,8661,10621,78532.0,0.0,40.7229641,-73.9858661,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01344490671,8.37032e-06,4,78531,30.02
31.0,418,"Census Tract 31, Queens County, New York",234.0,1125.0, New York,81,3100,36081003100,Census Tract 31, Queens County,9281,11322,164962.0,0.0,40.7531761,-73.9339044,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02233162141,1.759038e-05,4,164961,31.0
32.0,602,"Census Tract 32, New York County, New York",1473.0,7873.0, New York,61,3200,36061003200,Census Tract 32, New York County,8640,10600,217682.0,0.0,40.7255579,-73.9837166,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02023271903,2.320286e-05,4,217683,32.0
32.0,602,"Census Tract 32, Queens County, New York",438.0,1783.0, New York,81,3200,36081003200,Census Tract 32, Queens County,9282,11323,161964.0,0.0,40.6873154,-73.846767,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01861996694,1.725379e-05,3,161962,32.0
33.0,2065,"Census Tract 33, Bronx County, New York",690.0,3140.0, New York,5,3300,36005003300,Census Tract 33, Bronx County,7615,9395,152385.0,0.0,40.8082418,-73.9119436,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01991096524,1.626264e-05,4,152385,33.0
