census,county,state,income,population,tract,GEOID20,OBJECTID_1,OBJECTID,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,CBSA10,METRO_NAME,HRS2020,RHRS20,Shape_Leng,Shape_Area,EQINTER20,area
163.0,Kings County,New York,730.0,3489.0,016300,36047016300,9897,11970,184092.0,0.0,40.6791843,-73.9700051,35620.0,"New York-Newark-Jersey City, N",2.998921,3.0,0.01836079838,1.960898e-05,3,184092
165.0,Kings County,New York,1467.0,5973.0,016500,36047016500,9898,11972,186645.0,0.0,40.6699761,-73.9740401,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.02087261434,1.987819e-05,2,186645
166.0,Kings County,New York,544.0,1852.0,016600,36047016600,8806,10781,266930.0,0.0,40.6187031,-74.0162624,35620.0,"New York-Newark-Jersey City, N",2.002927,2.0,0.02173088969,2.840732e-05,2,266931
167.0,Kings County,New York,1192.0,4906.0,016700,36047016700,9899,11973,168915.0,0.0,40.6642969,-73.9787754,35620.0,"New York-Newark-Jersey City, N",2.56695,2.6,0.01928412364,1.798835e-05,3,168915
169.0,Kings County,New York,1287.0,4817.0,016900,36047016900,9900,11975,209462.0,0.0,40.6592927,-73.9812838,35620.0,"New York-Newark-Jersey City, N",3.352773,3.4,0.01962998103,2.230493e-05,4,209464
170.0,Kings County,New York,786.0,2935.0,017000,36047017000,7730,9550,209047.0,0.0,40.6101331,-74.012634,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02308819422,2.224416e-05,3,209045
171.0,Kings County,New York,1228.0,4213.0,017100,36047017100,9901,11976,208490.0,0.0,40.6569638,-73.9768619,35620.0,"New York-Newark-Jersey City, N",3.005917,3.0,0.01946944958,2.220026e-05,3,208488
172.0,Kings County,New York,857.0,3275.0,017200,36047017200,9902,11977,206317.0,0.0,40.6088822,-74.0103463,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02290913945,2.195357e-05,3,206318
174.0,Kings County,New York,551.0,2155.0,017400,36047017400,9903,11978,165543.0,91465.0,40.6035123,-74.012107,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02534254645,2.734479e-05,3,257008
176.0,Kings County,New York,679.0,2455.0,017600,36047017600,9658,11718,133636.0,83378.0,40.6019273,-74.0088041,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02463198221,2.308925e-05,3,217015
178.0,Kings County,New York,756.0,3041.0,017800,36047017800,7573,9353,164020.0,0.0,40.6069686,-74.0047234,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01932528586,1.74522e-05,3,164019
179.0,Kings County,New York,842.0,4385.0,017900,36047017900,7574,9354,158289.0,0.0,40.6842401,-73.9713282,35620.0,"New York-Newark-Jersey City, N",3.583378,3.6,0.01699014858,1.686173e-05,4,158289
180.0,Kings County,New York,834.0,3424.0,018000,36047018000,7575,9355,176108.0,0.0,40.6083001,-74.0071511,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01931930808,1.873886e-05,3,176108
