ct2010,building count,census,county,state,income,population,tract,GEOID20,INTPTLAT20,INTPTLON20
51.0,788,51.0,Queens County,New York,409.0,1737.0,5100,36081005100,40.7556398,-73.9321381
52.0,650,52.0,Bronx County,New York,554.0,1879.0,5200,36005005200,40.8256291,-73.8824329
52.0,650,52.0,Queens County,New York,716.0,2845.0,5200,36081005200,40.6807593,-73.8546641
52.01,139,52.01,Kings County,New York,323.0,1603.0,5201,36047005201,40.6216089,-74.0382101
52.02,126,52.02,Kings County,New York,653.0,2501.0,5202,36047005202,40.6199915,-74.0399196
53.0,1340,53.0,Bronx County,New York,1268.0,5142.0,5300,36005005300,40.8521987,-73.9217824
53.0,1340,53.0,Queens County,New York,973.0,5039.0,5300,36081005300,40.7603485,-73.9292728
54.0,2004,54.0,Bronx County,New York,1175.0,5354.0,5400,36005005400,40.8298985,-73.8797154
54.0,2004,54.0,Kings County,New York,866.0,3297.0,5400,36047005400,40.6167865,-74.0394733
54.0,2004,54.0,Queens County,New York,1485.0,5916.0,5400,36081005400,40.6787479,-73.8487787
55.0,194,55.0,Queens County,New York,251.0,1025.0,5500,36081005500,40.7537948,-73.9277888
56.0,281,56.0,Bronx County,New York,458.0,2113.0,5600,36005005600,40.8326118,-73.8790757
56.01,224,56.01,Kings County,New York,553.0,2421.0,5601,36047005601,40.6150045,-74.0376412
56.02,95,56.02,Kings County,New York,403.0,1787.0,5602,36047005602,40.6127383,-74.0357394
57.0,380,57.0,Queens County,New York,748.0,4229.0,5700,36081005700,40.7569544,-73.9256721
58.0,1883,58.0,Kings County,New York,757.0,2932.0,5800,36047005800,40.6190887,-74.0321884
58.0,1883,58.0,Queens County,New York,1449.0,6228.0,5800,36081005800,40.6735448,-73.8486894
59.0,1627,59.0,Kings County,New York,254.0,1143.0,5900,36047005900,40.6794028,-74.0061193
59.0,1627,59.0,New York County,New York,1137.0,5571.0,5900,36061005900,40.7312894,-73.9945614
59.0,1627,59.0,Queens County,New York,757.0,3771.0,5900,36081005900,40.7597006,-73.9239256
59.02,20,59.02,Bronx County,New York,498.0,2635.0,5902,36005005902,40.8241059,-73.9234371
60.0,540,60.0,Bronx County,New York,299.0,1266.0,6000,36005006000,40.8376356,-73.877771
60.0,540,60.0,Kings County,New York,689.0,3262.0,6000,36047006000,40.6220831,-74.0316042
60.0,540,60.0,New York County,New York,1564.0,5849.0,6000,36061006000,40.7338155,-73.9755951
61.0,697,61.0,New York County,New York,657.0,4647.0,6100,36061006100,40.7337079,-73.9923266
61.0,697,61.0,Queens County,New York,1297.0,5497.0,6100,36081006100,40.7620307,-73.922041
62.0,507,62.0,Bronx County,New York,1854.0,6995.0,6200,36005006200,40.8332883,-73.8755187
62.0,507,62.0,Kings County,New York,591.0,2625.0,6200,36047006200,40.624911,-74.0304459
63.0,1360,63.0,Kings County,New York,466.0,1999.0,6300,36047006300,40.6819491,-74.0013351
63.0,1360,63.0,New York County,New York,1011.0,6318.0,6300,36061006300,40.7344214,-73.9968603
63.0,1360,63.0,Queens County,New York,1013.0,5915.0,6300,36081006300,40.7644845,-73.920024
64.0,1803,64.0,Bronx County,New York,960.0,3949.0,6400,36005006400,40.8330126,-73.8721958
64.0,1803,64.0,Kings County,New York,743.0,2996.0,6400,36047006400,40.6289253,-74.0288094
64.0,1803,64.0,New York County,New York,1249.0,7425.0,6400,36061006400,40.7369488,-73.9814569
64.0,1803,64.0,Richmond County,New York,822.0,3318.0,6400,36085006400,40.5972427,-74.0785031
